# sin^2(theta_24)   Delta_m^2_41   chi^2
6.30957e-05 25.1189 3.16528e-07
6.30957e-05 31.6228 4.32203e-07
6.30957e-05 39.8107 4.60797e-07
6.30957e-05 50.1187 3.4722e-07
6.30957e-05 63.0957 3.23054e-07
6.30957e-05 79.4328 3.12481e-07
7.94328e-05 0.0001 5.8921e-08
7.94328e-05 0.000125893 6.00453e-08
7.94328e-05 0.000158489 6.29246e-08
7.94328e-05 0.000199526 6.90441e-08
7.94328e-05 0.000251189 8.10301e-08
7.94328e-05 0.000316228 1.03406e-07
7.94328e-05 0.000398107 1.43496e-07
7.94328e-05 0.000501187 2.11798e-07
7.94328e-05 0.000630957 3.20113e-07
7.94328e-05 0.000794328 4.73636e-07
7.94328e-05 0.001 6.46634e-07
7.94328e-05 0.00125893 7.30982e-07
7.94328e-05 0.00158489 5.57478e-07
7.94328e-05 0.00199526 1.99491e-07
7.94328e-05 0.00251189 3.78609e-08
7.94328e-05 0.00316228 1.26731e-07
7.94328e-05 0.00398107 6.48452e-07
7.94328e-05 0.00501187 1.08956e-06
7.94328e-05 0.00630957 6.28716e-07
7.94328e-05 0.00794328 4.93755e-07
7.94328e-05 0.01 6.07493e-07
7.94328e-05 0.0125893 7.18186e-07
7.94328e-05 0.0158489 5.46483e-07
7.94328e-05 0.0199526 5.2238e-07
7.94328e-05 0.0251189 3.83057e-07
7.94328e-05 0.0316228 5.66023e-07
7.94328e-05 0.0398107 6.14349e-07
7.94328e-05 0.0501187 5.07629e-07
7.94328e-05 0.0630957 4.20332e-07
7.94328e-05 0.0794328 6.51004e-07
7.94328e-05 0.1 4.27134e-07
7.94328e-05 0.125893 4.47711e-07
7.94328e-05 0.158489 5.88471e-07
7.94328e-05 0.199526 3.53155e-07
7.94328e-05 0.251189 5.63511e-07
7.94328e-05 0.316228 4.57986e-07
7.94328e-05 0.398107 4.77943e-07
7.94328e-05 0.501187 4.89366e-07
7.94328e-05 0.630957 6.10952e-07
